0;	3517;
1;	3517;
2;	3517;
3;	3517;
4;	3517;
5;	3517;
6;	3517;
7;	3517;
8;	3517;
9;	3517;
10;	3517;
11;	3517;
12;	3517;
13;	3517;
14;	3517;
15;	3517;
16;	3517;
17;	3517;
18;	3517;
19;	3517;
20;	3517;
21;	3517;
22;	3517;
23;	3517;
24;	3517;
25;	3517;
26;	3517;
27;	3517;
28;	3517;
29;	3517;
30;	3517;
31;	3517;
32;	3517;
33;	3517;
34;	3517;
35;	3517;
36;	3517;
37;	3517;
38;	3517;
39;	3517;
40;	3517;
41;	3517;
42;	3517;
43;	3517;
44;	3517;
45;	3517;
46;	3517;
47;	3517;
48;	3517;
49;	3517;
50;	3517;
51;	3517;
52;	3517;
53;	3517;
54;	3517;
55;	3517;
56;	3517;
57;	3517;
58;	3517;
59;	3517;
60;	3517;
61;	3517;
62;	3517;
63;	3517;
64;	3517;
65;	3517;
66;	3517;
67;	3517;
68;	3517;
69;	3517;
70;	3517;
71;	3517;
72;	3517;
73;	3517;
74;	3517;
75;	3517;
76;	3517;
77;	3517;
78;	3517;
79;	3517;
80;	3517;
81;	3517;
82;	3517;
83;	3517;
84;	3517;
85;	3517;
86;	3517;
87;	3517;
88;	3517;
89;	3517;
90;	3517;
91;	3517;
92;	3517;
93;	3517;
94;	3517;
95;	3517;
96;	3517;
97;	3517;
98;	3517;
99;	3517;
100;	3517;
101;	3517;
102;	3517;
103;	3517;
104;	3517;
105;	3517;
106;	3517;
107;	3517;
108;	3517;
109;	3517;
110;	3517;
111;	3517;
112;	3517;
113;	3517;
114;	3517;
115;	3517;
116;	3517;
117;	3517;
118;	3517;
119;	3517;
120;	3517;
121;	3517;
122;	3517;
123;	3517;
124;	3517;
125;	3517;
126;	3517;
127;	3517;
128;	3517;
129;	3517;
130;	3517;
131;	3517;
132;	3517;
133;	3517;
134;	3517;
135;	3517;
136;	3517;
137;	3517;
138;	3517;
139;	3517;
140;	3517;
141;	3517;
142;	3517;
143;	3517;
144;	3517;
145;	3517;
146;	3517;
147;	3517;
148;	3517;
149;	3517;
150;	3517;
151;	3517;
152;	3517;
153;	3517;
154;	3517;
155;	3517;
156;	3517;
157;	3517;
158;	3517;
159;	3517;
160;	3517;
161;	3517;
162;	3517;
163;	3517;
164;	3517;
165;	3517;
166;	3517;
167;	3517;
168;	3517;
169;	3517;
170;	3517;
171;	3517;
172;	3517;
173;	3517;
174;	3517;
175;	3517;
176;	3517;
177;	3517;
178;	3517;
179;	3517;
180;	3517;
181;	3517;
182;	3517;
183;	3517;
184;	3517;
185;	3517;
186;	3517;
187;	3517;
188;	3517;
189;	3517;
190;	3517;
191;	3517;
192;	3517;
193;	3517;
194;	3517;
195;	3517;
196;	3517;
197;	3517;
198;	3517;
199;	3517;
200;	3517;
201;	3517;
202;	3517;
203;	3517;
204;	3517;
205;	3517;
206;	3517;
207;	3517;
208;	3517;
209;	3517;
210;	3517;
211;	3517;
212;	3517;
213;	3517;
214;	3517;
215;	3517;
216;	3517;
217;	3517;
218;	3517;
219;	3517;
220;	3517;
221;	3517;
222;	3517;
223;	3517;
224;	3517;
225;	3517;
226;	3517;
227;	3517;
228;	3517;
229;	3517;
230;	3517;
231;	3517;
232;	3517;
233;	3517;
234;	3517;
235;	3517;
236;	3517;
237;	3517;
238;	3517;
239;	3517;
240;	3517;
241;	3517;
242;	3517;
243;	3517;
244;	3517;
245;	3517;
246;	3517;
247;	3517;
248;	3517;
249;	3517;
250;	3517;
251;	3517;
252;	3517;
253;	3517;
254;	3517;
255;	3517;
256;	3517;
257;	3517;
258;	3517;
259;	3517;
260;	3517;
261;	3517;
262;	3517;
263;	3517;
264;	3517;
265;	3517;
266;	3517;
267;	3517;
268;	3517;
269;	3517;
270;	3517;
271;	3517;
272;	3517;
273;	3517;
274;	3517;
275;	3517;
276;	3517;
277;	3517;
278;	3517;
279;	3517;
280;	3517;
281;	3517;
282;	3517;
283;	3517;
284;	3517;
285;	3517;
286;	3517;
287;	3517;
288;	3517;
289;	3517;
290;	3517;
291;	3517;
292;	3517;
293;	3517;
294;	3517;
295;	3517;
296;	3517;
297;	3517;
298;	3517;
299;	3517;
300;	3517;
301;	3517;
302;	3517;
303;	3517;
304;	3517;
305;	3517;
306;	3517;
307;	3517;
308;	3517;
309;	3517;
310;	3517;
311;	3517;
312;	3517;
313;	3517;
314;	3517;
315;	3517;
316;	3517;
317;	3517;
318;	3517;
319;	3517;
320;	3517;
321;	3517;
322;	3517;
323;	3517;
324;	3517;
325;	3517;
326;	3517;
327;	3517;
328;	3517;
329;	3517;
330;	3517;
331;	3517;
332;	3517;
333;	3517;
334;	3517;
335;	3517;
336;	3517;
337;	3517;
338;	3517;
339;	3517;
340;	3517;
341;	3517;
342;	3517;
343;	3517;
344;	3517;
345;	3517;
346;	3517;
347;	3517;
348;	3517;
349;	3517;
350;	3517;
351;	3517;
352;	3517;
353;	3517;
354;	3517;
355;	3517;
356;	3517;
357;	3517;
358;	3517;
359;	3517;
360;	3517;
361;	3517;
362;	3517;
363;	3517;
364;	3517;
365;	3517;
366;	3517;
367;	3517;
368;	3517;
369;	3517;
370;	3517;
371;	3517;
372;	3517;
373;	3517;
374;	3517;
375;	3517;
376;	3517;
377;	3517;
378;	3517;
379;	3517;
380;	3517;
381;	3517;
382;	3517;
383;	3517;
384;	3517;
385;	3517;
386;	3517;
387;	3517;
388;	3517;
389;	3517;
390;	3517;
391;	3517;
392;	3517;
393;	3517;
394;	3517;
395;	3517;
396;	3517;
397;	3517;
398;	3517;
399;	3517;
400;	3517;
401;	3517;
402;	3517;
403;	3517;
404;	3517;
405;	3517;
406;	3517;
407;	3517;
408;	3517;
409;	3517;
410;	3517;
411;	3517;
412;	3517;
413;	3517;
414;	3517;
415;	3517;
416;	3517;
417;	3517;
418;	3517;
419;	3517;
420;	3517;
421;	3517;
422;	3517;
423;	3517;
424;	3517;
425;	3517;
426;	3517;
427;	3517;
428;	3517;
429;	3517;
430;	3517;
431;	3517;
432;	3517;
433;	3517;
434;	3517;
435;	3517;
436;	3517;
437;	3517;
438;	3517;
439;	3517;
440;	3517;
441;	3517;
442;	3517;
443;	3517;
444;	3517;
445;	3517;
446;	3517;
447;	3517;
448;	3517;
449;	3517;
450;	3517;
451;	3517;
452;	3517;
453;	3517;
454;	3517;
455;	3517;
456;	3517;
457;	3517;
458;	3517;
459;	3517;
460;	3517;
461;	3517;
462;	3517;
463;	3517;
464;	3517;
465;	3517;
466;	3517;
467;	3517;
468;	3517;
469;	3517;
470;	3517;
471;	3517;
472;	3517;
473;	3517;
474;	3517;
475;	3517;
476;	3517;
477;	3517;
478;	3517;
479;	3517;
480;	3517;
481;	3517;
482;	3517;
483;	3517;
484;	3517;
485;	3517;
486;	3517;
487;	3517;
488;	3517;
489;	3517;
490;	3517;
491;	3517;
492;	3517;
493;	3517;
494;	3517;
495;	3517;
496;	3517;
